quarter,ticker,DlyCap,weight
2023Q1,MA,343685195.43,0.012434371259911892
2023Q1,LLY,326350652.32,0.011807215515303775
2023Q1,CVX,311092929.84,0.01125519817961477
2023Q1,HD,299533814.72,0.010836994745922163
2023Q1,ABBV,281989278.0,0.010202241529721818
2023Q1,MRK,270080802.88,0.009771398412967133
2023Q1,KO,268384704.76,0.00971003436820247
2023Q1,AVGO,267473422.96,0.009677064614560846
2023Q1,PEP,251209400.0,0.009088639793377179
2023Q1,ORCL,250865601.84,0.009076201335111422
2023Q1,PFE,229258260.0,0.008294457710565016
2023Q1,BAC,228909795.4,0.00828185042266041
2023Q1,TMO,222150289.1,0.008037294614072979
2023Q1,COST,220353398.21,0.007972283933552222
2023Q1,CSCO,214109147.33,0.0077463698275203685
2023Q1,MCD,204533876.17,0.007399940949870276
2023Q1,CRM,199780000.0,0.0072279479108699465
2023Q1,ACN,189376562.76,0.006851556367849
2023Q1,DHR,183630547.08,0.00664366818069272
2023Q1,DIS,182918184.91,0.006617895247173676
2023Q1,ADBE,176769219.0,0.006395428507243778
2023Q1,ABT,175984411.96,0.006367034551866844
2023Q1,LIN,174933705.84,0.006329020490874792
2023Q1,TMUS,174488168.64,0.0063129011612424206
2023Q1,TXN,168897080.0,0.006110618162669107
2023Q1,VZ,163333449.87,0.005909328600275541
2023Q1,CMCSA,158082539.13,0.005719353080637201
2023Q1,AMD,157698090.0,0.00570544388909641
2023Q1,NEE,155769045.0,0.005635651934057247
2023Q1,NFLX,153578642.76,0.005556404195071497
2023Q1,NKE,152768478.24,0.0055270928178075334
2023Q1,PM,150760159.25,0.005454432766510451
2023Q1,MS,147674332.0,0.0053427889652042995
2023Q1,BMY,145466164.56,0.005262898489507037
2023Q1,RTX,143463043.15,0.005190426484248111
2023Q1,QCOM,142124120.0,0.005141984864542144
2023Q1,WFC,141814785.84,0.00513079329784111
2023Q1,UPS,140604921.95,0.005087020982413326
2023Q1,T,137249997.5,0.004965641368991042
2023Q1,INTC,136266570.0,0.004930061417323623
2023Q1,AMGN,129167025.0,0.004673203165992773
2023Q1,HON,127224188.24,0.004602912231461772
2023Q1,BA,127084123.2,0.004597844743158369
2023Q1,INTU,125075823.18,0.004525185378187105
2023Q1,UNP,123145559.98,0.004455349349235914
2023Q1,AXP,122754635.35,0.004441205877102986
2023Q1,DE,122345427.36,0.00442640092146963
2023Q1,COP,120914766.96,0.0043746402905288735
2023Q1,LMT,120686550.81,0.004366383535875659
2023Q1,SBUX,119437110.0,0.004321179345804605
2023Q1,LOW,119253309.32,0.00431452952229363
2023Q1,IBM,118912525.54,0.004302200122900752
2023Q1,CAT,118160389.8,0.004274988200032478
2023Q1,PLD,115216236.33,0.0041684700904981555
2023Q1,SPGI,111015940.0,0.004016505313826526
2023Q1,GS,109720217.53,0.003969626674722993
2023Q1,ELV,109185562.98,0.003950283120624938
2023Q1,SYK,108144885.57,0.003912631893717844
2023Q1,MDT,107258782.88,0.003880573108619227
2023Q1,GE,104135837.2,0.0037675863796998344
2023Q1,AMAT,103805843.94,0.003755647376325031
2023Q1,GILD,103546560.0,0.003746266603412602
2023Q1,BLK,100525912.32,0.003636980968773848
2023Q1,ADI,99764131.44,0.0036094200892056397
2023Q1,BKNG,98701480.92,0.003570973885351306
2023Q1,CVS,95422362.72,0.0034523369069591465
2023Q1,AMT,95150103.64,0.003442486699488422
2023Q1,MDLZ,94977952.44,0.003436258348770663
2023Q1,NOW,94338160.0,0.003413110954486509
2023Q1,SCHW,93836046.24,0.0033949447111057346
2023Q1,ADP,92057505.0,0.003330597912426918
2023Q1,C,91140655.68,0.003297426728489204
2023Q1,TJX,90315306.84,0.0032675659895572942
2023Q1,ISRG,89516688.0,0.0032386723296505995
2023Q1,REGN,88658193.0,0.003207612377995067
2023Q1,PYPL,85204680.0,0.003082665876475835
2023Q1,PGR,83738740.4,0.003029628860411757
2023Q1,MMC,82370800.05,0.0029801374118434455
2023Q1,VRTX,81133675.7,0.0029353788255932264
2023Q1,CB,80294595.08,0.002905021277218111
2023Q1,MO,79671865.68,0.002882491215821739
2023Q1,ZTS,77126132.28,0.0027903877599694924
2023Q1,TGT,76250089.32,0.0027586929312450733
2023Q1,CI,75907741.8,0.0027463069564629358
2023Q1,SO,75766218.64,0.0027411867140529765
2023Q1,DUK,74289617.6,0.0026877639720254637
2023Q1,ITW,74268804.6,0.0026870109673209444
2023Q1,HCA,73030394.88,0.002642205876979193
2023Q1,BSX,71782043.4,0.002597041098363229
2023Q1,LRCX,71402923.04,0.0025833246992540576
2023Q1,BDX,70277101.08,0.0025425929819460507
2023Q1,NOC,70221609.64,0.002540585327336885
2023Q1,FISV,69965570.0,0.0025313219316964912
2023Q1,SLB,69731230.8,0.002522843647928972
2023Q1,CME,68742465.12,0.0024870705633804895
2023Q1,ETN,68193320.0,0.0024672027471683137
2023Q1,EQIX,67428055.6,0.002439515835459218
2023Q1,EOG,67370802.12,0.0024374444310585977
2023Q1,ATVI,67281186.33,0.0024342021732644665
2023Q1,WM,66598161.84,0.0024094906634258015
2023Q1,MU,66035733.96,0.0023891422831061448
2023Q1,AON,64679221.18,0.002340064278729984
2023Q1,APD,63784458.43,0.002307692176669784
2023Q1,GD,62627670.3,0.0022658401176671177
2023Q1,CL,62402981.85,0.002257710993566737
2023Q1,CSX,60869666.7,0.0022022363612955
2023Q1,HUM,60670363.5,0.002195025663787893
2023Q1,MPC,60073102.01,0.002173417019584827
2023Q1,MRNA,58974720.0,0.002133678066964361
2023Q1,SNPS,58826647.5,0.0021283208724652506
2023Q1,FCX,58529691.54,0.0021175771433096673
2023Q1,ICE,58282570.79,0.00210863642898043
2023Q1,SHW,58090008.34,0.0021016696086871597
2023Q1,CCI,58011208.08,0.002098818651761326
2023Q1,MMM,57863055.0,0.0020934585419151207
2023Q1,FDX,57431418.48,0.002077842132449763
